id,scientificName,names_wo_author
596472,Bauhinia candicans G.Bentham,Bauhinia candicans
596473,Capparis mollis Kunth,Capparis mollis
596476,Combretum gloriosum Rusby,Combretum gloriosum
596478,Capparis hypoleuca C. Presl,Capparis hypoleuca
596479,Miconia kapplerii Naudin,Miconia kapplerii
596480,Capparis sessilis Banks ex DC.,Capparis sessilis
596481,Osmunda gracilis Link,Osmunda gracilis
596486,Nidularium campos-portoi (L.B.Sm.) Wand. & B.A.Moreira,Nidularium campos-portoi
596487,Escallonia concinna Phil.,Escallonia concinna
596488,Phaseolus crassifolius Mart. ex Benth.,Phaseolus crassifolius
596591,Trigonia schottiana Warm.,Trigonia schottiana
596606,Calospermum mammosum (L.) Pierre,Calospermum mammosum
596810,Apeiba petoumo Aubl.,Apeiba petoumo
596812,Pavonia selloi Gürke,Pavonia selloi
596814,Qualea intermedia Warm.,Qualea intermedia
596815,Piper reflexum L. f.,Piper reflexum
596817,Comolia neglecta Cogn.,Comolia neglecta
596818,Maxillaria histiologorum Rchb.f.,Maxillaria histiologorum
596823,Urostigma maximilianum Martius ex Miquel,Urostigma maximilianum
596840,Peperomia earlei Trel.,Peperomia earlei
596841,Polygonum densiflorum Meisn.,Polygonum densiflorum
596844,Capparis scabrida Kunth,Capparis scabrida
596845,Bryopteris fruticulosa Taylor,Bryopteris fruticulosa
596846,Styrax gardnerianum A. DC.,Styrax gardnerianum
596847,Combretum reticulatum C. Presl,Combretum reticulatum
596859,Heliotropium corymbosum Ruiz et Pav.,Heliotropium corymbosum
596875,Pteris viscosa (J.St.-Hil.) T.Moore,Pteris viscosa
596914,Phaseolus latifolius Benth.,Phaseolus latifolius
596915,Bryopteris trinitensis (Lehm. & Lindenb.) Lehm. & Lindenb.,Bryopteris trinitensis
596916,Hippocratea festiva Miers,Hippocratea festiva
596917,Carex incrassata Schltdl.,Carex incrassata
596919,Adiantum lancea L.,Adiantum lancea
596931,Styrax macrophyllum Schott ex Pohl,Styrax macrophyllum
596932,Bombax stenopetalum K.Schum.,Bombax stenopetalum
596933,Peperomia ciliata Kunth,Peperomia ciliata
596934,Quiina glaziovii Engl.,Quiina glaziovii
596936,Capparis petiolaris Kunth,Capparis petiolaris
596962,Xylosma digynum Eichler,Xylosma digynum
597020,Coccoloba nitida  Meisn.,Coccoloba nitida
597021,Calliandra tweediei Hook.,Calliandra tweediei
597025,Evolvulus exilis Meisn.,Evolvulus exilis
597026,Sideroxylon cylindrocarpum Poepp.,Sideroxylon cylindrocarpum
597028,Piper blandum Jacq.,Piper blandum
597040,Polypodium hirsutum Sw.,Polypodium hirsutum
597044,Urostigma fagifolium Miquel,Urostigma fagifolium
597045,Strychnos brevifolia Spruce,Strychnos brevifolia
